Index(Frame ID),Front vehicle position(global_X),Front vehicle position(global_Y),Front vehicle velocity(m/s),Rear vehicle position(global_X),Rear vehicle position(global_Y),Rear vehicle velocity(m/s),Ego vehicle velocity(m/s)
7427,6451289.93,1873147.833,10.018287107589149,6451121.094,1873327.125,8.405973788479121,8.585797013105761
7428,6451292.322,1873145.57,9.911612313319111,6451123.11,1873324.904,8.405973788479121,8.546174946662601
7429,6451294.72,1873143.441,9.826272477903078,6451125.127,1873322.683,8.405973788479121,8.695519658640658
7430,6451297.12,1873141.362,9.829320329167937,6451127.143,1873320.461,8.405973788479121,8.90582139591588
7431,6451299.518,1873139.232,9.899420908259675,6451129.16,1873318.24,8.405973788479121,9.073453215483084
7432,6451301.925,1873136.957,9.957330082291984,6451130.776,1873316.015,8.405973788479121,9.161840902163974
7433,6451304.294,1873134.651,9.94818652849741,6451132.403,1873313.831,8.122523620847302,9.20451081987199
7434,6451306.636,1873132.402,9.896373056994818,6451133.914,1873311.673,7.927461139896373,9.250228588844864
7435,6451308.956,1873130.173,9.890277354465102,6451135.305,1873309.521,7.820786345626333,9.305089911612313
7436,6451311.262,1873127.957,9.987808594940567,6451136.723,1873307.364,7.7781164279183175,9.34775982932033
7437,6451313.649,1873125.68,10.173727522096922,6451138.141,1873305.207,7.775068576653459,9.378238341968911
7438,6451316.082,1873123.338,10.387077110637,6451139.559,1873303.05,7.784212130448034,9.36299908564462
7439,6451318.562,1873120.931,10.554708930204207,6451140.977,1873300.893,7.805547089302042,9.286802804023162
7440,6451321.106,1873118.485,10.646144468149954,6451142.372,1873298.716,7.854312709539774,9.170984455958548
7441,6451323.628,1873116.058,10.67357512953368,6451143.863,1873296.582,7.954891801280097,9.085644620542517
7442,6451326.151,1873113.632,10.664431575739105,6451145.472,1873294.527,8.134715025906736,9.088692471807375
7443,6451328.68,1873111.207,10.694910088387687,6451147.208,1873292.483,8.405973788479121,9.146601645839683
