,Index(Frame ID),Front vehicle position(global_X),Front vehicle position(global_Y),Front vehicle velocity(m/s),Rear vehicle position(global_X),Rear vehicle position(global_Y),Rear vehicle velocity(m/s),Ego vehicle velocity(m/s)
915,5336,6451347.166,1873109.379,5.530945177467931,6451347.166,1873109.379,9.142525158924432,9.144574022274195
916,5337,6451348.467,1873108.114,5.288490808947637,6451348.467,1873108.114,9.146830646004178,9.144782287719195
917,5338,6451349.724,1873106.918,5.104639307259493,6451349.724,1873106.918,9.142525156491063,9.144574022274195
918,5339,6451350.949,1873105.776,5.070330365331836,6451350.949,1873105.776,9.144574021748838,9.142525156491063
919,5340,6451352.167,1873104.643,5.104490066811572,6451352.167,1873104.643,9.142525157016538,9.144574022274195
920,5341,6451353.391,1873103.5,5.106570844714632,6451353.391,1873103.5,9.146830646004178,9.144782285811772
921,5342,6451354.615,1873102.356,5.106718202563648,6451354.615,1873102.356,9.142525156491063,9.142525157016538
922,5343,6451355.84,1873101.213,5.104490068886289,6451355.84,1873101.213,9.142525156491063,9.144574021748838
923,5344,6451357.064,1873100.07,5.106718203047792,6451357.064,1873100.07,9.144574022274195,9.142525157016538
924,5345,6451358.289,1873098.927,5.106570844230051,6451358.289,1873098.927,9.144782287719195,9.146830645478714
925,5346,6451359.513,1873097.783,5.106718203047792,6451359.513,1873097.783,9.144574022274195,9.142525158924432
926,5347,6451360.738,1873096.64,5.104490068886289,6451360.738,1873096.64,9.142525156491063,9.144574021748838
927,5348,6451361.962,1873095.497,5.106718202563648,6451361.962,1873095.497,9.144574022274195,9.142525157016538
928,5349,6451363.187,1873094.354,5.1044900693706445,6451363.187,1873094.354,9.144782285811772,9.146830645478714
929,5350,6451364.411,1873093.211,5.108798070405262,6451364.411,1873093.211,9.23314868673827,9.142525157016538
930,5351,6451365.636,1873092.067,5.104490068886289,6451365.636,1873092.067,9.023501429687125,9.142525156491063
931,5352,6451366.86,1873090.924,5.106718203047792,6451366.86,1873090.924,8.713455839256895,9.156679018039073
932,5353,6451368.085,1873089.781,5.104490068886289,6451368.085,1873089.781,8.54055582915744,9.14585401181995
933,5354,6451369.309,1873088.638,5.220391204208234,6451369.309,1873088.638,8.715703636078246,9.08761136159018
934,5355,6451370.557,1873087.465,4.84722185636012,6451370.557,1873087.465,9.114123973783915,8.999533698220434
935,5356,6451371.677,1873086.336,4.20905735222477,6451371.677,1873086.336,9.133698051742638,8.92495674094972
936,5357,6451372.683,1873085.39,3.7169931971231702,6451372.683,1873085.39,8.594635800381935,8.904639015468105
937,5358,6451373.568,1873084.551,3.08355481059574,6451373.568,1873084.551,8.149187543579101,8.913797179411464
938,5359,6451374.339,1873083.896,2.7056781998860973,6451374.339,1873083.896,7.680563871181036,8.914791421580105
939,5360,6451374.982,1873083.284,2.819638888109008,6451374.982,1873083.284,8.14468603968902,8.916859274554007
940,5361,6451375.649,1873082.643,2.81963888557053,6451375.649,1873082.643,8.591762714966917,8.914791421580105
941,5362,6451376.316,1873082.002,2.819556515000273,6451376.316,1873082.002,8.589480320707011,8.9168592721066
942,5363,6451376.982,1873081.36,2.819638888109008,6451376.982,1873081.36,8.14468603968902,8.9168592740327
943,5364,6451377.649,1873080.719,2.817442010418218,6451377.649,1873080.719,7.7360773946432815,8.914791421580105
944,5365,6451378.315,1873080.078,2.819638886062269,6451378.315,1873080.078,7.994557708730966,8.9168592721066
945,5366,6451378.982,1873079.437,2.8217517464418513,6451378.982,1873079.437,8.223165640630102,8.914791421580105
946,5367,6451379.649,1873078.795,2.8174420099260953,6451379.649,1873078.795,8.048406036661074,8.9168592740327
947,5368,6451380.315,1873078.154,2.819638886062269,6451380.315,1873078.154,7.742630967171892,8.914791421580105
948,5369,6451380.982,1873077.513,2.819638888109008,6451380.982,1873077.513,7.530572398687047,8.91462051043209
949,5370,6451381.649,1873076.872,2.819556515000273,6451381.649,1873076.872,7.619147121314425,8.914791421580105
950,5371,6451382.315,1873076.23,2.819638886062269,6451382.315,1873076.23,7.621195941129713,8.9168592740327
951,5372,6451382.982,1873075.589,2.8174420099260953,6451382.982,1873075.589,7.619147121314425,8.914791421580105
952,5373,6451383.648,1873074.948,2.8217517464418513,6451383.648,1873074.948,7.530572399212407,8.94340023546077
953,5374,6451384.315,1873074.306,2.8801551787434523,6451384.315,1873074.306,7.720169447050219,8.9168592740327
954,5375,6451384.998,1873073.653,2.7501440388703653,6451384.998,1873073.653,8.167286484550704,8.778473358885696
955,5376,6451385.633,1873073.012,2.4574555513517655,6451385.633,1873073.012,8.596672592934713,8.599198865787296
956,5377,6451386.192,1873072.431,2.1660388494331073,6451386.192,1873072.431,9.043082635090359,8.462188919311098
957,5378,6451386.694,1873071.928,1.8710847547624132,6451386.694,1873071.928,9.237454175352848,8.438311345591815
958,5379,6451387.12,1873071.486,1.747344257947806,6451387.12,1873071.486,9.142525158924432,8.464370635904666
959,5380,6451387.498,1873071.055,1.8047660748879977,6451387.498,1873071.055,9.142525156491063,8.462188917328545
960,5381,6451387.892,1873070.613,1.8067956794790465,6451387.892,1873070.613,9.144574022274195,8.4643706364127
961,5382,6451388.287,1873070.171,1.8070424747239777,6451388.287,1873070.171,9.144782285811772,8.464317952513396
962,5383,6451388.681,1873069.728,1.8047660743582472,6451388.681,1873069.728,9.144574022274195,8.464370633922623
963,5384,6451389.075,1873069.286,1.8090695254107154,6451389.075,1873069.286,9.142525156491063,8.462188919311098
964,5385,6451389.47,1873068.843,1.8606411088982966,6451389.47,1873068.843,9.144574022274195,8.462188919819006
965,5386,6451389.869,1873068.381,1.7349734349915138,6451389.869,1873068.381,9.235405798479643,8.466499118497763
966,5387,6451390.251,1873067.959,1.5312613245724438,6451390.251,1873067.959,9.021462139912785,8.462188919311098
967,5388,6451390.619,1873067.617,1.5844704871699826,6451390.619,1873067.617,8.769163274466514,8.4643706364127
968,5389,6451391.031,1873067.3,1.7662338142574299,6451391.031,1873067.3,8.486898621255815,8.462188919311098
969,5390,6451391.489,1873066.945,2.070563629701447,6451391.489,1873066.945,8.309691579181353,8.466499118497763
970,5391,6451392.004,1873066.502,2.2062214834312814,6451392.004,1873066.502,8.456286408864809,8.462188919311098
971,5392,6451392.544,1873066.02,2.1364392823450604,6451392.544,1873066.02,8.274961305439023,8.4643706364127
972,5393,6451393.072,1873065.559,2.134144217701427,6451393.072,1873065.559,7.996606770080039,8.49034337745376
973,5394,6451393.599,1873065.098,2.1364392818783147,6451393.599,1873065.098,7.740383847570357,8.462188917328545
974,5395,6451394.127,1873064.637,2.1361522616204205,6451394.127,1873064.637,7.530572399212407,8.332352337722163
975,5396,6451394.654,1873064.175,2.1364392823450604,6451394.654,1873064.175,7.619147121314425,8.157728718889777
976,5397,6451395.182,1873063.714,2.1364392818783147,6451395.182,1873063.714,7.619147123222225,8.026753921166948
977,5398,6451395.71,1873063.253,2.1361522616204205,6451395.71,1873063.253,7.621195940604357,7.998872503198823
978,5399,6451396.237,1873062.791,2.1364392818783147,6451396.237,1873062.791,7.619147121314425,8.028883863464175
979,5400,6451396.765,1873062.33,2.1341442181686747,6451396.765,1873062.33,7.621195941129713,8.024573629671304
980,5401,6451397.292,1873061.869,2.1364392818783147,6451397.292,1873061.869,7.619147123222225,8.026753919631975
981,5402,6451397.82,1873061.408,2.1384451728182845,6451397.82,1873061.408,7.619147121314425,8.026753921166948
982,5403,6451398.348,1873060.946,2.1341442155648584,6451398.348,1873060.946,7.6217810431235815,8.024573627641013
983,5404,6451398.875,1873060.485,2.1364392823450604,6451398.875,1873060.485,7.669732855712782,8.028883865494453
984,5405,6451399.403,1873060.024,2.1341442155648584,6451399.403,1873060.024,7.582332375649203,8.026753919631975
985,5406,6451399.93,1873059.563,2.1384451728182845,6451399.93,1873059.563,7.635342815344882,8.024573629175322
986,5407,6451400.458,1873059.101,2.1341442181686747,6451400.458,1873059.101,7.640391876760795,8.026753919631975
987,5408,6451400.985,1873058.64,2.1364392818783147,6451400.985,1873058.64,7.634472790992959,8.026753921166948
988,5409,6451401.513,1873058.179,2.1384451728182845,6451401.513,1873058.179,7.7343617106220295,8.026704150029433
989,5410,6451402.041,1873057.717,2.1341442155648584,6451402.041,1873057.717,7.468386839207241,8.026753921662795
990,5411,6451402.568,1873057.256,2.1364392823450604,6451402.568,1873057.256,7.18509482118159,8.095162076885362
991,5412,6451403.096,1873056.795,2.0165347785914354,6451403.096,1873056.795,7.140654796842416,7.9593838161707575
992,5413,6451403.608,1873056.376,2.6029009864205053,6451403.608,1873056.376,7.2797503205879535,7.6875110095890005
993,5414,6451404.272,1873055.839,3.36148110417608,6451404.272,1873055.839,7.424901097111576,7.7114857807383075
994,5415,6451405.087,1873055.096,4.031600786062662,6451405.087,1873055.096,7.231959224887172,7.489392504377487
995,5416,6451406.06,1873054.2,4.797846335620985,6451406.06,1873054.2,7.0689507506307345,7.245026756458188
996,5417,6451407.184,1873053.098,5.3808864018030045,6451407.184,1873053.098,7.155832904788393,6.810740824177594
997,5418,6451408.46,1873051.878,5.2597256300032855,6451408.46,1873051.878,7.535467276246692,6.36171269857471
998,5419,6451409.721,1873050.7,5.257498724450338,6451409.721,1873050.7,7.709770647937174,6.492404561522411
999,5420,6451410.981,1873049.522,5.2597256300032855,6451410.981,1873049.522,7.621195941129713,6.798188028809992
1000,5421,6451412.242,1873048.344,5.2574987270085805,6451412.242,1873048.344,7.5755818818393905,7.061273385677055
1001,5422,6451413.502,1873047.166,5.2597256300032855,6451413.502,1873047.166,7.70576658319079,7.150460535137992
1002,5423,6451414.763,1873045.988,5.257498724450338,6451414.763,1873045.988,7.908972694948054,7.158994179043583
1003,5424,6451416.023,1873044.81,5.2597256300032855,6451416.023,1873044.81,8.099637772059056,7.020999687201779
1004,5425,6451417.284,1873043.632,5.2554176021689365,6451417.284,1873043.632,8.306740073654996,6.691181313809357
1005,5426,6451418.544,1873042.455,5.2597256300032855,6451418.544,1873042.455,8.44464173254277,6.978986238427748
1006,5427,6451419.805,1873041.277,5.2574987270085805,6451419.805,1873041.277,8.396469944719282,7.247301841133349
1007,5428,6451421.065,1873040.099,5.259725629518833,6451421.065,1873040.099,8.509287810431768,7.483724551733615
1008,5429,6451422.326,1873038.921,5.257498724934997,6451422.326,1873038.921,8.237205761256117,7.710804471434144
1009,5430,6451423.586,1873037.743,5.2597256300032855,6451423.586,1873037.743,7.8974315235706625,7.620300527200465
1010,5431,6451424.847,1873036.565,5.257498724450338,6451424.847,1873036.565,7.6896135016447005,7.620300525154433
