Index(Frame ID),Front vehicle position(global_X),Front vehicle position(global_Y),Front vehicle velocity(m/s),Rear vehicle position(global_X),Rear vehicle position(global_Y),Rear vehicle velocity(m/s),Ego vehicle velocity(m/s)
4204,6451238.927,1873234.639,2.285888448643706,6451128.017,1873336.807,4.166412679061262,4.718073758000609
4205,6451239.467,1873234.021,2.639439195367266,6451129.025,1873335.697,4.166412679061262,4.943614751600121
4206,6451240.089,1873233.28,2.892410850350503,6451130.034,1873334.586,4.166412679061262,5.211825662907651
4207,6451240.781,1873232.517,3.0173727522096923,6451131.042,1873333.475,4.166412679061262,5.437366656507162
4208,6451241.453,1873231.777,3.047851264858275,6451132.05,1873332.365,4.166412679061262,5.589759219750076
4209,6451242.125,1873231.036,3.075281926241999,6451133.028,1873331.232,4.166412679061262,5.690338311490399
4210,6451242.777,1873230.318,3.2002438281011885,6451133.904,1873330.243,3.8098140810728434,5.733008229198415
4211,6451243.5,1873229.578,3.4562633343492837,6451134.708,1873329.381,3.483693995733008,5.72386467540384
4212,6451244.304,1873228.716,3.806766229807985,6451135.411,1873328.663,3.3526363913441024,5.699481865284974
4213,6451245.18,1873227.727,4.160316976531545,6451136.113,1873327.945,3.4806461444681496,5.726912526668698
4214,6451246.138,1873226.616,4.4163364827796405,6451136.917,1873327.082,3.7976226760134106,5.836635172203596
4215,6451247.166,1873225.483,4.5412983846388295,6451137.793,1873326.094,4.160316976531545,5.9798841816519355
4216,6451248.175,1873224.373,4.571776897287412,6451138.751,1873324.983,4.419384334044499,6.043889058213958
4217,6451249.183,1873223.262,4.59311185614142,6451139.78,1873323.85,4.547394087168546,5.955501371533068
4218,6451250.171,1873222.173,4.678451691557452,6451140.788,1873322.739,4.583968302346845,5.778725998171289
4219,6451251.215,1873221.041,4.846083511124657,6451141.796,1873321.629,4.577872599817129,5.690338311490399
4220,6451252.307,1873219.84,5.074672355989027,6451142.804,1873320.518,4.571776897287412,5.739103931728131
4221,6451253.45,1873218.584,5.330691862237122,6451143.813,1873319.408,4.562633343492838,5.888448643706187
4222,6451254.659,1873217.249,5.589759219750076,6451144.821,1873318.297,4.568729046022554,6.0347455044193845
4223,6451255.921,1873215.859,5.8183480646144465,6451145.836,1873317.188,4.702834501676318,6.110941786040841
4224,6451257.229,1873214.399,5.985979884181652,6451146.8,1873316.134,5.0624809509295945,6.20237732398659
4225,6451258.593,1873212.896,6.074367570862542,6451147.925,1873314.858,5.662907650106674,6.370009143553794
4226,6451259.937,1873211.415,6.101798232246266,6451149.207,1873313.352,6.443157573910393,6.601645839683023
4227,6451261.281,1873209.935,6.098750380981408,6451150.655,1873311.632,7.229503200243827,6.857665345931118
4228,6451262.626,1873208.454,6.0865589759219745,6451152.269,1873309.677,7.845169155745199,7.1136848521792135
4229,6451263.97,1873206.973,6.0865589759219745,6451154.053,1873307.517,8.220054861322767,7.345321548308442
4230,6451265.322,1873205.494,6.174946662602865,6451155.827,1873305.413,8.37244742456568,7.5099055166107895
4231,6451266.623,1873204.043,6.437061871380677,6451157.601,1873303.31,8.399878085949405,7.601341054556538
4232,6451268.096,1873202.527,6.78451691557452,6451159.376,1873301.207,8.387686680889972,7.628771715940262
4233,6451269.736,1873200.831,7.13806766229808,6451161.15,1873299.103,8.204815604998476,7.622676013410546
4234,6451271.556,1873199.019,7.573910393172813,6451162.944,1873296.94,7.768972874123742,7.619628162145687
4235,6451273.552,1873197.02,8.05547089302042,6451164.637,1873294.981,7.247790307832978,7.619628162145687
4236,6451275.727,1873194.973,8.527887839073452,6451166.301,1873293.199,6.821091130752818,7.619628162145687
4237,6451277.895,1873192.957,8.899725693386163,6451167.867,1873291.551,6.638220054861323,7.619628162145687
4238,6451280.063,1873190.941,9.030783297775068,6451169.501,1873290.15,6.619932947272172,7.619628162145687
4239,6451282.231,1873188.925,9.024687595245352,6451171.221,1873288.705,6.507162450472417,7.619628162145687
4240,6451284.399,1873186.909,8.99420908259677,6451172.889,1873287.299,6.2663822005486125,7.61353245961597
4241,6451286.588,1873184.881,8.914964949710454,6451174.472,1873286.064,6.016458396830234,7.607436757086254
4242,6451288.707,1873182.888,8.814385857970132,6451175.998,1873284.932,5.915879305089911,7.668393782383419
4243,6451290.772,1873180.93,8.750380981408107,6451177.378,1873283.699,6.068271868332825,7.869551965864066
4244,6451292.78,1873178.929,8.790003047851265,6451178.808,1873282.285,6.452301127704969,8.238341968911918
4245,6451294.732,1873176.828,8.969826272477903,6451180.337,1873280.708,6.961292288936299,8.735141725083816
4246,6451296.728,1873174.635,9.27461139896373,6451181.95,1873278.963,7.4550441938433405,9.23803718378543
4247,6451298.853,1873172.391,9.683023468454738,6451183.637,1873277.045,7.802499238037184,9.548918012800975
4248,6451301.116,1873170.08,10.140201158183482,6451185.452,1873275.026,7.93355684242609,9.612922889362999
4249,6451303.514,1873167.652,10.548613227674489,6451187.218,1873273.062,7.875647668393782,9.582444376714417
4250,6451306.045,1873165.097,10.79548918012801,6451188.935,1873271.19,7.73849436147516,9.59463578177385
4251,6451308.707,1873162.598,10.862541907954892,6451190.595,1873269.361,7.640963120999695,9.704358427308748
4252,6451311.375,1873160.272,10.835111246571167,6451192.275,1873267.51,7.604388905821396,9.84151173422737
4253,6451314.051,1873158.004,10.844254800365741,6451193.956,1873265.659,7.604388905821396,9.844559585492227
4254,6451316.719,1873155.678,10.926546784516916,6451195.636,1873263.808,7.640963120999695,9.728741237427613
4255,6451319.375,1873153.19,11.00579091740323,6451197.296,1873261.979,7.735446510210301,9.567205120390124
4256,6451322.016,1873150.636,10.999695214873515,6451199.013,1873260.107,7.881743370923498,9.402621152087779
4257,6451324.624,1873148.146,10.905211825662908,6451200.779,1873258.143,7.994513867723255,9.268515696434013
4258,6451327.183,1873145.692,10.786345626333434,6451202.592,1873256.145,7.991466016458396,9.18317586101798
4259,6451329.705,1873143.266,10.701005790917403,6451204.358,1873254.181,7.869551965864066,9.146601645839683
4260,6451332.22,1873140.845,10.664431575739105,6451206.074,1873252.309,7.7598293203291675,9.137458092045108
4261,6451334.743,1873138.418,10.655288021944529,6451207.715,1873250.502,7.793355684242608,9.140505943309966
4262,6451337.265,1873135.992,10.685766534593112,6451209.445,1873248.652,8.01889667784212,9.140505943309966
4263,6451339.766,1873133.586,10.780249923803717,6451211.257,1873246.678,8.37549527583054,9.140505943309966
4264,6451342.33,1873131.139,10.950929594635781,6451213.142,1873244.58,8.668088997256934,9.140505943309966
4265,6451344.942,1873128.628,11.155135629381286,6451215.108,1873242.358,8.768668088997256,9.140505943309966
4266,6451347.605,1873126.045,11.28924108503505,6451217.145,1873240.114,8.786955196586407,9.140505943309966
4267,6451350.347,1873123.407,11.246571167327033,6451219.161,1873237.893,8.820481560499848,9.13441024078025
4268,6451353.011,1873120.844,11.075891496494972,6451221.178,1873235.672,8.918012800975312,9.131362389515392
4269,6451355.621,1873118.334,11.017982322462663,6451223.194,1873233.451,9.070405364218226,8.97592197500762
4270,6451358.327,1873115.783,11.206949100883877,6451225.218,1873231.231,9.231941481255713,8.64065833587321
4271,6451361.083,1873113.135,11.587930508991162,6451227.193,1873229.042,9.509295946357817,8.473026516306005
4272,6451363.909,1873110.361,11.968911917098445,6451229.344,1873226.775,9.993904297470284,8.576653459311185
4273,6451366.813,1873107.568,12.160926546784516,6451231.67,1873224.324,10.63700091435538,8.90582139591588
4274,6451369.696,1873104.794,12.197500761962816,6451234.182,1873221.749,11.286193233770192,9.34775982932033
4275,6451372.578,1873102.021,12.194452910697956,6451236.878,1873218.983,11.789088692471807,9.646449253276439
4276,6451375.461,1873099.248,12.188357208168242,6451239.757,1873216.157,12.08473026516306,9.905516610789393
4277,6451378.344,1873096.475,12.188357208168242,6451242.631,1873213.364,12.197500761962816,10.231636696129229
4278,6451381.226,1873093.702,12.188357208168242,6451245.504,1873210.57,12.218835720816825,10.490704053642183
4279,6451384.109,1873090.929,12.182261505638524,6451248.378,1873207.776,12.197500761962816,10.627857360560803
4280,6451386.992,1873088.156,12.179213654373667,6451251.252,1873204.983,12.06339530630905,10.667479427003961
4281,6451389.881,1873085.385,12.255409935995123,6451254.127,1873202.132,11.746418774763791,10.679670832063394
4282,6451392.719,1873082.636,12.483998780859494,6451256.825,1873199.455,11.243523316062175,10.734532154830843
4283,6451395.717,1873079.851,12.89850655288022,6451259.367,1873196.914,10.451081987199023,10.862541907954892
4284,6451398.868,1873076.896,13.456263334349282,6451261.743,1873194.512,9.500152392563242,11.048460835111246
4285,6451402.183,1873073.837,14.017067967083207,6451263.959,1873192.288,8.902773544651021,11.209996952148735
4286,6451405.659,1873070.615,14.443767144163365,6451266.023,1873190.011,8.878390734532154,11.277049679975617
4287,6451409.303,1873067.373,14.693690947881743,6451268.21,1873187.634,9.387381895763486,11.243523316062175
4288,6451412.937,1873064.155,14.78512648582749,6451270.445,1873185.175,10.094483389210605,11.18561414202987
4289,6451416.57,1873060.937,14.800365742151783,6451272.748,1873182.583,10.49375190490704,11.191709844559584
4290,6451420.204,1873057.718,14.779030783297776,6451275.12,1873179.97,10.612618104236512,11.249619018591892
4291,6451423.838,1873054.5,14.647973178908869,6451277.473,1873177.378,10.691862237122827,11.280097531240475
4292,6451427.477,1873051.233,14.330996647363609,6451279.805,1873174.809,10.835111246571167,11.213044803413593
4293,6451430.937,1873048.107,13.818957634867418,6451282.218,1873172.206,11.103322157878695,11.048460835111246
4294,6451434.227,1873045.142,13.19719597683633,6451284.746,1873169.502,11.453825053337397,10.862541907954892
4295,6451437.353,1873042.313,12.648582749161841,6451287.396,1873166.714,11.792136543736664,10.731484303565987
4296,6451440.311,1873039.657,12.301127704967996,6451290.165,1873163.896,12.042060347455044,10.67052727826882
4297,6451443.136,1873036.932,12.194452910697956,6451293.054,1873161.119,12.160926546784516,10.661383724474245
4298,6451446.011,1873034.156,12.282840597378847,6451295.991,1873158.343,12.148735141725084,10.664431575739105
4299,6451448.936,1873031.363,12.450472416946052,6451298.918,1873155.619,12.06339530630905,10.667479427003961
4300,6451451.907,1873028.485,12.566290765010667,6451301.854,1873153.031,11.981103322157878,10.667479427003961
4301,6451454.932,1873025.574,12.517525144772934,6451304.792,1873150.494,11.938433404449864,10.667479427003961
4302,6451457.903,1873022.696,12.301127704967996,6451307.751,1873147.886,11.886619932947271,10.667479427003961
4303,6451460.828,1873019.903,12.081682413898202,6451310.606,1873145.161,11.734227369704358,10.548613227674489
4304,6451463.689,1873017.15,11.984151173422736,6451313.375,1873142.472,11.44772935080768,10.277354465102102
4305,6451466.572,1873014.377,12.026821091130753,6451316.055,1873139.946,11.109417860408412,10.082291984151173
4306,6451469.454,1873011.604,12.133495885400793,6451318.646,1873137.521,10.841206949100883,10.079244132886314
4307,6451472.337,1873008.831,12.179213654373667,6451321.145,1873135.114,10.697957939652545,10.274306613837245
4308,6451475.22,1873006.058,12.176165803108809,6451323.667,1873132.688,10.658335873209387,10.548613227674489
4309,6451478.103,1873003.285,12.203596464492533,6451326.19,1873130.261,10.661383724474245,10.664431575739105
4310,6451480.964,1873000.532,12.295032002438282,6451328.712,1873127.835,10.667479427003961,10.664431575739105
4311,6451483.889,1872997.74,12.462663822005485,6451331.235,1873125.408,10.667479427003961,10.664431575739105
4312,6451486.861,1872994.882,12.691252666869856,6451333.757,1873122.982,10.667479427003961,10.664431575739105
4313,6451489.888,1872991.972,12.944224321853092,6451336.279,1873120.555,10.667479427003961,10.664431575739105
4314,6451492.986,1872988.989,13.19719597683633,6451338.802,1873118.129,10.667479427003961,10.664431575739105
4315,6451496.14,1872985.954,13.431880524230417,6451341.324,1873115.702,10.667479427003961,10.667479427003961
4316,6451499.338,1872982.857,13.642182261505637,6451343.846,1873113.276,10.554708930204207,10.661383724474245
4317,6451502.599,1872979.717,13.818957634867418,6451346.369,1873110.849,10.289545870161534,10.661383724474245
