"event_id","event_nm","event_start_dtm","event_end_dtm"
EV-190411,event 20199-04-11,"2019-04-11 08:20:00","2019-04-11 08:20:00"
EV-190413,event 20199-04-13,"2019-04-13 08:10:00","2019-04-13 09:26:00"
EV-190415,event 20199-04-15,"2019-04-15 08:04:00","2019-04-15 10:40:00"
EV-190416,event 20199-04-16,"2019-04-16 08:21:00","2019-04-16 09:14:00"
EV-190417,event 20199-04-17,"2019-04-17 08:00:00","2019-04-17 08:08:00"
EV-190418,event 20199-04-18,"2019-04-18 08:14:00","2019-04-18 09:03:00"
EV-190419,event 20199-04-19,"2019-04-19 08:00:00","2019-04-19 12:10:00"
EV-190420,event 20199-04-20,"2019-04-20 08:06:00","2019-04-20 11:50:00"
EV-190421,event 20199-04-21,"2019-04-21 08:00:00","2019-04-21 09:24:00"
EV-190501,event 20199-05-01,"2019-05-01 08:00:00","2019-05-01 11:30:00"
EV-190502,event 20199-05-02,"2019-05-02 08:14:00","2019-05-02 10:30:00"
EV-190503,event 20199-05-03,"2019-05-03 08:42:00","2019-05-03 10:14:00"
EV-190505,event 20199-05-05,"2019-05-05 08:24:00","2019-05-05 12:00:00"
EV-190506,event 20199-05-06,"2019-05-06 08:39:00","2019-05-06 09:42:00"
EV-190507,event 20199-05-07,"2019-05-07 08:00:00","2019-05-07 08:08:00"
EV-190508,event 20199-05-08,"2019-05-08 08:18:00","2019-05-08 09:09:00"
EV-190509,event 20199-05-09,"2019-05-09 08:00:00","2019-05-09 12:10:00"
EV-190510,event 20199-05-10,"2019-05-10 08:06:00","2019-05-10 11:50:00"
EV-190511,event 20199-05-11,"2019-05-11 08:00:00","2019-05-11 09:24:00"
EV-190521,event 20199-05-21,"2019-05-21 08:30:00","2019-05-21 10:00:00"
EV-190522,event 20199-05-22,"2019-05-22 08:00:00","2019-05-22 08:14:00"
EV-190523,event 20199-05-23,"2019-05-23 08:00:00","2019-05-23 11:50:00"
EV-190524,event 20199-05-24,"2019-05-24 09:06:00","2019-05-24 10:50:00"
EV-190525,event 20199-05-25,"2019-05-25 08:00:00","2019-05-25 12:25:00"
EV-190526,event 20199-05-26,"2019-05-26 08:26:00","2019-05-26 10:54:00"
EV-190527,event 20199-05-27,"2019-05-27 08:39:00","2019-05-27 10:40:00"
EV-190528,event 20199-05-28,"2019-05-28 08:00:00","2019-05-28 08:00:00"
EV-190529,event 20199-05-29,"2019-05-29 08:09:00","2019-05-29 08:21:00"
EV-190530,event 20199-05-30,"2019-05-30 08:24:00","2019-05-30 08:58:00"
EV-190531,event 20199-05-31,"2019-05-31 08:00:00","2019-05-31 11:30:00"
EV-190601,event 20199-06-01,"2019-06-01 08:00:00","2019-06-01 09:24:00"
EV-190611,event 20199-06-11,"2019-06-11 08:30:00","2019-06-11 10:00:00"
EV-190612,event 20199-06-12,"2019-06-12 08:00:00","2019-06-12 08:14:00"
EV-190613,event 20199-06-13,"2019-06-13 08:00:00","2019-06-13 11:50:00"
EV-190614,event 20199-06-14,"2019-06-14 09:06:00","2019-06-14 10:50:00"
EV-190615,event 20199-06-15,"2019-06-15 08:00:00","2019-06-15 12:25:00"
EV-190616,event 20199-06-16,"2019-06-16 08:26:00","2019-06-16 10:54:00"
EV-190617,event 20199-06-17,"2019-06-17 08:39:00","2019-06-17 10:40:00"
EV-190618,event 20199-06-18,"2019-06-18 08:00:00","2019-06-18 08:00:00"
EV-190619,event 20199-06-19,"2019-06-19 08:09:00","2019-06-19 08:21:00"
EV-190620,event 20199-06-20,"2019-06-20 08:24:00","2019-06-20 08:58:00"
EV-190621,event 20199-06-21,"2019-06-21 08:00:00","2019-06-21 11:30:00"
EV-190622,event 20199-06-22,"2019-06-22 08:14:00","2019-06-22 10:30:00"
EV-190623,event 20199-06-23,"2019-06-23 08:42:00","2019-06-23 10:14:00"
EV-190625,event 20199-06-25,"2019-06-25 08:24:00","2019-06-25 12:00:00"
EV-190626,event 20199-06-26,"2019-06-26 08:39:00","2019-06-26 09:42:00"
EV-190627,event 20199-06-27,"2019-06-27 08:00:00","2019-06-27 08:08:00"
EV-190628,event 20199-06-28,"2019-06-28 08:18:00","2019-06-28 09:09:00"
EV-190629,event 20199-06-29,"2019-06-29 08:00:00","2019-06-29 12:10:00"
EV-190630,event 20199-06-30,"2019-06-30 08:06:00","2019-06-30 11:50:00"
EV-190701,event 20199-07-01,"2019-07-01 08:30:00","2019-07-01 10:00:00"
EV-190702,event 20199-07-02,"2019-07-02 08:00:00","2019-07-02 08:14:00"
EV-190703,event 20199-07-03,"2019-07-03 08:00:00","2019-07-03 11:50:00"
EV-190704,event 20199-07-04,"2019-07-04 09:06:00","2019-07-04 10:50:00"
EV-190705,event 20199-07-05,"2019-07-05 08:00:00","2019-07-05 12:25:00"
EV-190706,event 20199-07-06,"2019-07-06 08:26:00","2019-07-06 10:54:00"
EV-190707,event 20199-07-07,"2019-07-07 08:39:00","2019-07-07 10:40:00"
EV-190708,event 20199-07-08,"2019-07-08 08:00:00","2019-07-08 08:00:00"
EV-190709,event 20199-07-09,"2019-07-09 08:09:00","2019-07-09 08:21:00"
EV-190710,event 20199-07-10,"2019-07-10 08:24:00","2019-07-10 08:58:00"
EV-190711,event 20199-07-11,"2019-07-11 08:00:00","2019-07-11 11:30:00"
EV-190712,event 20199-07-12,"2019-07-12 08:14:00","2019-07-12 10:30:00"
EV-190713,event 20199-07-13,"2019-07-13 08:42:00","2019-07-13 10:14:00"
EV-190715,event 20199-07-15,"2019-07-15 08:24:00","2019-07-15 12:00:00"
EV-190716,event 20199-07-16,"2019-07-16 08:39:00","2019-07-16 09:42:00"
EV-190717,event 20199-07-17,"2019-07-17 08:00:00","2019-07-17 08:08:00"
EV-190718,event 20199-07-18,"2019-07-18 08:18:00","2019-07-18 09:09:00"
EV-190719,event 20199-07-19,"2019-07-19 08:00:00","2019-07-19 12:10:00"
EV-190720,event 20199-07-20,"2019-07-20 08:06:00","2019-07-20 11:50:00"
EV-190721,event 20199-07-21,"2019-07-21 08:00:00","2019-07-21 09:24:00"
EV-190731,event 20199-07-31,"2019-07-31 08:30:00","2019-07-31 10:00:00"
EV-190801,event 20199-08-01,"2019-08-01 08:00:00","2019-08-01 11:30:00"
EV-190802,event 20199-08-02,"2019-08-02 08:14:00","2019-08-02 10:30:00"
EV-190803,event 20199-08-03,"2019-08-03 08:42:00","2019-08-03 10:14:00"
EV-190805,event 20199-08-05,"2019-08-05 08:24:00","2019-08-05 12:00:00"
EV-190806,event 20199-08-06,"2019-08-06 08:39:00","2019-08-06 09:42:00"
EV-190807,event 20199-08-07,"2019-08-07 08:00:00","2019-08-07 08:08:00"
EV-190808,event 20199-08-08,"2019-08-08 08:18:00","2019-08-08 09:09:00"
EV-190809,event 20199-08-09,"2019-08-09 08:00:00","2019-08-09 12:10:00"
EV-190810,event 20199-08-10,"2019-08-10 08:06:00","2019-08-10 11:50:00"
EV-190811,event 20199-08-11,"2019-08-11 08:00:00","2019-08-11 09:24:00"
EV-190821,event 20199-08-21,"2019-08-21 08:30:00","2019-08-21 10:00:00"
EV-190822,event 20199-08-22,"2019-08-22 08:00:00","2019-08-22 08:14:00"
EV-190823,event 20199-08-23,"2019-08-23 08:00:00","2019-08-23 11:50:00"
EV-190824,event 20199-08-24,"2019-08-24 09:06:00","2019-08-24 10:50:00"
EV-190825,event 20199-08-25,"2019-08-25 08:00:00","2019-08-25 12:25:00"
EV-190826,event 20199-08-26,"2019-08-26 08:26:00","2019-08-26 10:54:00"
EV-190827,event 20199-08-27,"2019-08-27 08:39:00","2019-08-27 10:40:00"
EV-190828,event 20199-08-28,"2019-08-28 08:00:00","2019-08-28 08:00:00"
EV-190829,event 20199-08-29,"2019-08-29 08:09:00","2019-08-29 08:21:00"
EV-190830,event 20199-08-30,"2019-08-30 08:24:00","2019-08-30 08:58:00"
