"event_id","entry_no","shop_id","mbr_id","entry_dtm","entry_rslt_cd","entry_rslt_dtm"
EV-190411,1,S050,M0058,"2019-04-11 08:20:00",SUCC,"2019-04-11 08:30:00"
EV-190413,1,S050,M0227,"2019-04-13 08:10:00",SUCC,"2019-04-13 08:30:00"
EV-190413,2,S050,M0273,"2019-04-13 08:14:00",SUCC,"2019-04-13 08:30:00"
EV-190413,3,S050,M0100,"2019-04-13 08:18:00",SUCC,"2019-04-13 08:30:00"
EV-190413,4,S050,M0284,"2019-04-13 08:22:00",SUCC,"2019-04-13 08:30:00"
EV-190413,5,S050,M0105,"2019-04-13 08:26:00",SUCC,"2019-04-13 08:30:00"
EV-190413,6,S050,M0062,"2019-04-13 08:30:00",SUCC,"2019-04-13 08:30:00"
EV-190413,7,S050,M0198,"2019-04-13 08:34:00",SUCC,"2019-04-13 08:30:00"
EV-190413,8,S050,M0200,"2019-04-13 08:38:00",SUCC,"2019-04-13 08:30:00"
EV-190413,9,S050,M0156,"2019-04-13 08:42:00",SUCC,"2019-04-13 08:30:00"
EV-190413,10,S050,M0114,"2019-04-13 08:46:00",SUCC,"2019-04-13 08:30:00"
EV-190413,11,S050,M0161,"2019-04-13 08:50:00",SUCC,"2019-04-13 08:30:00"
EV-190413,12,S050,M0076,"2019-04-13 08:54:00",SUCC,"2019-04-13 08:30:00"
EV-190413,13,S050,M0298,"2019-04-13 08:54:00",SUCC,"2019-04-13 08:30:00"
EV-190413,14,S050,M0119,"2019-04-13 08:58:00",SUCC,"2019-04-13 08:30:00"
EV-190413,15,S050,M0259,"2019-04-13 09:06:00",SUCC,"2019-04-13 09:30:00"
EV-190413,16,S050,M0214,"2019-04-13 09:10:00",SUCC,"2019-04-13 09:30:00"
EV-190413,17,S050,M0170,"2019-04-13 09:14:00",SUCC,"2019-04-13 09:30:00"
EV-190413,18,S050,M0175,"2019-04-13 09:18:00",SUCC,"2019-04-13 09:30:00"
EV-190413,19,S050,M0132,"2019-04-13 09:22:00",SUCC,"2019-04-13 09:30:00"
EV-190413,20,S050,M0268,"2019-04-13 09:26:00",SUCC,"2019-04-13 09:30:00"
EV-190415,1,S050,M0057,"2019-04-15 08:04:00",SUCC,"2019-04-15 08:30:00"
EV-190415,2,S050,M0104,"2019-04-15 08:06:00",SUCC,"2019-04-15 08:30:00"
EV-190415,3,S050,M0071,"2019-04-15 08:08:00",SUCC,"2019-04-15 08:30:00"
EV-190415,4,S050,M0272,"2019-04-15 08:12:00",SUCC,"2019-04-15 08:30:00"
EV-190415,5,S050,M0184,"2019-04-15 08:15:00",SUCC,"2019-04-15 08:30:00"
EV-190415,6,S050,M0232,"2019-04-15 08:18:00",SUCC,"2019-04-15 08:30:00"
EV-190415,7,S050,M0233,"2019-04-15 08:21:00",SUCC,"2019-04-15 08:30:00"
EV-190415,8,S050,M0189,"2019-04-15 08:24:00",SUCC,"2019-04-15 08:30:00"
EV-190415,9,S050,M0160,"2019-04-15 08:33:00",SUCC,"2019-04-15 08:30:00"
EV-190415,10,S050,M0118,"2019-04-15 08:39:00",SUCC,"2019-04-15 08:30:00"
EV-190415,11,S050,M0258,"2019-04-15 08:42:00",SUCC,"2019-04-15 08:30:00"
EV-190415,12,S050,M0127,"2019-04-15 08:45:00",SUCC,"2019-04-15 08:30:00"
EV-190415,13,S050,M0174,"2019-04-15 08:48:00",SUCC,"2019-04-15 08:30:00"
EV-190416,1,S050,M0099,"2019-04-16 08:21:00",SUCC,"2019-04-16 08:30:00"
EV-190416,2,S050,M0059,"2019-04-16 08:24:00",SUCC,"2019-04-16 08:30:00"
EV-190416,3,S050,M0073,"2019-04-16 08:27:00",SUCC,"2019-04-16 08:30:00"
EV-190416,4,S050,M0085,"2019-04-16 08:30:00",SUCC,"2019-04-16 08:30:00"
EV-190416,5,S050,M0286,"2019-04-16 08:34:00",SUCC,"2019-04-16 08:30:00"
EV-190416,6,S050,M0202,"2019-04-16 08:38:00",SUCC,"2019-04-16 08:30:00"
EV-190416,7,S050,M0216,"2019-04-16 08:46:00",SUCC,"2019-04-16 08:30:00"
EV-190416,8,S050,M0129,"2019-04-16 08:50:00",SUCC,"2019-04-16 08:30:00"
EV-190417,1,S050,M0075,"2019-04-17 08:00:00",SUCC,"2019-04-17 08:30:00"
EV-190417,2,S050,M0169,"2019-04-17 08:02:00",SUCC,"2019-04-17 08:30:00"
EV-190417,3,S050,M0131,"2019-04-17 08:04:00",SUCC,"2019-04-17 08:30:00"
EV-190417,4,S050,M0267,"2019-04-17 08:06:00",SUCC,"2019-04-17 08:30:00"
EV-190417,5,S050,M0087,"2019-04-17 08:08:00",SUCC,"2019-04-17 08:30:00"
EV-190418,1,S050,M0101,"2019-04-18 08:14:00",SUCC,"2019-04-18 08:30:00"
EV-190418,2,S050,M0064,"2019-04-18 08:16:00",SUCC,"2019-04-18 08:30:00"
EV-190418,3,S050,M0065,"2019-04-18 08:18:00",SUCC,"2019-04-18 08:30:00"
EV-190418,4,S050,M0078,"2019-04-18 08:20:00",SUCC,"2019-04-18 08:30:00"
EV-190418,5,S050,M0281,"2019-04-18 08:21:00",SUCC,"2019-04-18 08:30:00"
EV-190418,6,S050,M0079,"2019-04-18 08:22:00",SUCC,"2019-04-18 08:30:00"
EV-190418,7,S050,M0089,"2019-04-18 08:24:00",SUCC,"2019-04-18 08:30:00"
EV-190418,8,S050,M0199,"2019-04-18 08:27:00",SUCC,"2019-04-18 08:30:00"
EV-190418,9,S050,M0157,"2019-04-18 08:36:00",SUCC,"2019-04-18 08:30:00"
EV-190418,10,S050,M0295,"2019-04-18 08:39:00",SUCC,"2019-04-18 08:30:00"
EV-190418,11,S050,M0115,"2019-04-18 08:42:00",SUCC,"2019-04-18 08:30:00"
EV-190418,12,S050,M0211,"2019-04-18 08:45:00",SUCC,"2019-04-18 08:30:00"
EV-190418,13,S050,M0171,"2019-04-18 08:54:00",SUCC,"2019-04-18 08:30:00"
EV-190418,14,S050,M0269,"2019-04-18 08:57:00",SUCC,"2019-04-18 08:30:00"
