,Index(Frame ID),Front vehicle position(global_X),Front vehicle position(global_Y),Front vehicle velocity(m/s),Rear vehicle position(global_X),Rear vehicle position(global_Y),Rear vehicle velocity(m/s),Ego vehicle velocity(m/s)
1011,5623,6451373.435,1873067.966,4.433792454470112,6451373.435,1873067.966,6.0957691085599395,6.095769110467598
1012,5624,6451374.591,1873067.083,4.080162141324341,6451374.591,1873067.083,6.095561833676277,6.097817860745356
1013,5625,6451375.656,1873066.272,3.812039175138955,6451375.656,1873066.272,6.095769110993128,6.093512325406732
1014,5626,6451376.619,1873065.474,3.8979713576680677,6451376.619,1873065.474,6.0957691085599395,6.0957691085599395
1015,5627,6451377.607,1873064.662,3.8979713576680677,6451377.607,1873064.662,6.0978178621284425,6.097817860220005
1016,5628,6451378.595,1873063.85,3.8979713581186637,6451378.595,1873063.85,6.095769109085468,6.095769110993128
1017,5629,6451379.583,1873063.038,3.9003266067367743,6451379.583,1873063.038,6.107681697267716,6.0957691085599395
1018,5630,6451380.572,1873062.226,3.8979713576680677,6451380.572,1873062.226,6.135372645316504,6.095769110993128
1019,5631,6451381.56,1873061.414,3.896036776450404,6451381.56,1873061.414,5.990859313422935,6.095561833676277
1020,5632,6451382.548,1873060.603,3.8979713576680677,6451382.548,1873060.603,5.771712147400469,6.0957691085599395
1021,5633,6451383.536,1873059.791,3.8979713576680677,6451383.536,1873059.791,5.47543062816099,6.095769110467598
1022,5634,6451384.524,1873058.979,3.9003266071870977,6451384.524,1873058.979,5.219156003110502,6.097817860745356
1023,5635,6451385.513,1873058.167,3.8979713576680677,6451385.513,1873058.167,5.19335732024938,6.095769110467598
1024,5636,6451386.501,1873057.355,3.8979713576680677,6451386.501,1873057.355,5.233310374947651,6.095769109085468
1025,5637,6451387.489,1873056.543,3.896036773806001,6451387.489,1873056.543,5.233060062179312,6.095769110467598
1026,5638,6451388.477,1873055.732,3.8979713581186637,6451388.477,1873055.732,5.231033152912459,6.095561833676277
1027,5639,6451389.465,1873054.92,3.9003266067367743,6451389.465,1873054.92,5.233060062709223,6.0957691085599395
1028,5640,6451390.454,1873054.108,3.9973970945239037,6451390.454,1873054.108,5.233310374947651,6.095769110993128
1029,5641,6451391.462,1873053.269,3.623304149578537,6451391.462,1873053.269,5.233060062179312,6.097817860220005
1030,5642,6451392.333,1873052.46,2.964883151731375,6451392.333,1873052.46,5.231033155329818,6.095769109085468
1031,5643,6451393.075,1873051.831,2.4541416379963445,6451393.075,1873051.831,5.233060062179312,6.095769110467598
1032,5644,6451393.682,1873051.302,1.8032958208545005,6451393.682,1873051.302,5.233310374947651,6.095561833676277
1033,5645,6451394.159,1873050.952,1.4231255290543612,6451394.159,1873050.952,5.233060062179312,6.095769110467598
1034,5646,6451394.499,1873050.632,1.5219137405529861,6451394.499,1873050.632,5.231033153442574,6.095769109085468
1035,5647,6451394.859,1873050.286,1.5262234172799725,6451394.859,1873050.286,5.233060062179312,6.095769110467598
1036,5648,6451395.22,1873049.939,1.524027432630727,6451395.22,1873049.939,5.233310374947651,6.097817860220005
1037,5649,6451395.58,1873049.592,1.5241127706724111,6451395.58,1873049.592,5.233060062709223,6.105625604253284
1038,5650,6451395.941,1873049.246,1.524027432630727,6451395.941,1873049.246,5.231033152912459,6.116334346547391
1039,5651,6451396.301,1873048.899,1.60139553007724,6451396.301,1873048.899,5.233060062709223,6.038864181980845
1040,5652,6451396.675,1873048.53,1.449111650110901,6451396.675,1873048.53,5.233310376303776,5.8665314522903325
1041,5653,6451397.022,1873048.205,1.1234020005952823,6451397.022,1873048.205,5.233060062709223,5.685202286773524
1042,5654,6451397.31,1873047.975,1.0070953639206606,6451397.31,1873047.975,5.231033152912459,5.576587347630131
1043,5655,6451397.576,1873047.779,1.121021912931587,6451397.576,1873047.779,5.233060062709223,5.571011966079488
1044,5656,6451397.863,1873047.549,1.46064090881024,6451397.863,1873047.549,5.233310374417353,5.588966593158519
1045,5657,6451398.217,1873047.226,1.6099932997801922,6451398.217,1873047.226,5.233060062709223,5.5889665945878
1046,5658,6451398.589,1873046.851,1.4717137883243874,6451398.589,1873046.851,5.231033152912459,5.5889665945878
1047,5659,6451398.913,1873046.493,1.362084325410968,6451398.913,1873046.493,5.233060062709223,5.5889665945878
1048,5660,6451399.203,1873046.153,1.2567595564174139,6451399.203,1873046.153,5.201164395271254,5.588966592641842
1049,5661,6451399.476,1873045.844,1.2069541211361114,6451399.476,1873045.844,5.231033152912459,5.5868775767540395
1050,5662,6451399.757,1873045.565,1.212023700231336,6451399.757,1873045.565,5.420190790267326,5.588966595104479
1051,5663,6451400.048,1873045.294,1.2201521279453023,6451400.048,1873045.294,5.603902802384601,5.5889665945878
