Index(Frame ID),Front vehicle position(global_X),Front vehicle position(global_Y),Front vehicle velocity(m/s),Rear vehicle position(global_X),Rear vehicle position(global_Y),Rear vehicle velocity(m/s),Ego vehicle velocity(m/s)
8334,6451172.231,1873274.233,10.286498018896678,6451123.395,1873327.231,9.408716854617495,6.866808899725694
8335,6451174.518,1873271.751,10.286498018896678,6451125.412,1873325.01,9.408716854617495,7.366656507162451
8336,6451176.805,1873269.269,10.286498018896678,6451127.428,1873322.788,9.408716854617495,7.601341054556538
8337,6451179.092,1873266.787,10.286498018896678,6451129.444,1873320.567,9.408716854617495,7.628771715940262
8338,6451181.379,1873264.305,10.286498018896678,6451131.461,1873318.346,9.408716854617495,7.622676013410546
8339,6451183.666,1873261.823,10.286498018896678,6451133.493,1873316.126,9.408716854617495,7.619628162145687
8340,6451185.953,1873259.341,10.286498018896678,6451135.593,1873313.814,9.637305699481866,7.619628162145687
8341,6451188.24,1873256.858,10.286498018896678,6451137.745,1873311.446,9.899420908259675,7.619628162145687
8342,6451190.527,1873254.376,10.292593721426394,6451139.962,1873309.001,10.161536117037489,7.619628162145687
8343,6451192.814,1873251.894,10.29868942395611,6451142.231,1873306.5,10.396220664431576,7.619628162145687
8344,6451195.101,1873249.412,10.237732398658945,6451144.548,1873303.93,10.560804632733921,7.6165803108808285
8345,6451197.414,1873246.891,10.060957025297164,6451146.928,1873301.318,10.63700091435538,7.622676013410546
8346,6451199.62,1873244.452,9.756171898811337,6451149.277,1873298.722,10.627857360560803,7.662298079853703
8347,6451201.757,1873242.154,9.39652544955806,6451151.592,1873296.122,10.56690033526364,7.753733617799451
8348,6451203.834,1873240.006,9.131362389515392,6451153.875,1873293.532,10.396220664431576,7.924413288631515
8349,6451205.798,1873237.907,8.942395611094177,6451156.141,1873290.959,10.097531240475465,8.192624199939042
8350,6451207.786,1873235.723,8.759524535202681,6451158.418,1873288.405,9.89332520572996,8.540079244132885
8351,6451209.815,1873233.478,8.671136848521792,6451160.705,1873285.856,9.887229503200242,8.93934775982932
8352,6451211.832,1873231.257,8.701615361170374,6451162.988,1873283.304,10.07010057909174,9.320329167936604
8353,6451213.848,1873229.036,8.847912221883572,6451165.272,1873280.751,10.326120085339836,9.606827186833282
8354,6451215.865,1873226.815,9.052118256629075,6451167.555,1873278.198,10.435842730874734,9.77141115513563
8355,6451217.881,1873224.593,9.140505943309966,6451169.839,1873275.645,10.435842730874734,9.835416031697653
8356,6451219.898,1873222.372,9.140505943309966,6451172.123,1873273.093,10.435842730874734,9.847607436757087
8357,6451221.914,1873220.151,9.146601645839683,6451174.406,1873270.54,10.435842730874734,9.801889667784211
8358,6451223.931,1873217.93,9.14964949710454,6451176.69,1873267.987,10.435842730874734,9.637305699481866
8359,6451225.947,1873215.708,9.119170984455959,6451178.973,1873265.434,10.435842730874734,9.411764705882351
